source,target,interaction,directed,symbol,value
1.1,2.1,pp,False,1.1,1.0
2.1,3.1,pp,True,2.1,1.0
3.1,4.1,pp,True,3.1,1.0
4.1,5.1,pp,True,4.1,1.0
5.1,5.2,pp,True,5.1,1.0
5.1,6.1,pp,True,5.1,1.0
5.2,6.2,pp,True,5.2,1.0
6.1,7.1,pp,True,6.1,1.0
6.2,7.2,pp,True,6.2,1.0
7.1,8.1,pp,True,7.1,1.0
7.2,8.2,pp,True,7.2,1.0
8.1,9.1,pp,True,8.1,1.0
8.2,9.2,pp,True,8.2,1.0
9.1,10.1,pp,True,9.1,1.0
9.2,10.2,pp,True,9.2,1.0
10.1,11.1,pp,True,10.1,1.0
10.2,11.2,pp,True,10.2,1.0
11.1,12.1,pp,True,11.1,1.0
12.1,13.1,pp,True,12.1,1.0
13.1,13.2,pp,True,13.1,1.0
13.1,14.1,pp,True,13.1,1.0
13.2,14.2,pp,True,13.2,1.0
14.1,15.1,pp,True,14.1,1.0
14.2,15.2,pp,True,14.2,1.0
15.1,16.1,pp,True,15.1,1.0
15.2,16.2,pp,True,15.2,1.0
16.1,17.1,pp,True,16.1,1.0
16.2,17.2,pp,True,16.2,1.0
17.1,18.1,pp,True,17.1,1.0
17.2,18.2,pp,True,17.2,1.0
18.1,19.1,pp,True,18.1,1.0
19.1,20.1,pp,True,19.1,1.0
20.1,21.1,pp,True,20.1,1.0
21.1,21.2,pp,True,21.1,1.0
21.1,22.1,pp,True,21.1,1.0
21.2,22.2,pp,True,21.2,1.0
22.1,23.1,pp,True,22.1,1.0
22.2,23.2,pp,True,22.2,1.0
23.1,24.1,pp,True,23.1,1.0
23.2,24.2,pp,True,23.2,1.0
24.1,25.1,pp,True,24.1,1.0
24.2,25.2,pp,True,24.2,1.0
25.1,26.1,pp,True,25.1,1.0
25.2,26.2,pp,True,25.2,1.0
26.1,27.1,pp,True,26.1,1.0
27.1,28.1,pp,True,27.1,1.0
28.1,28.2,pp,True,28.1,1.0
28.1,29.1,pp,True,28.1,1.0
28.2,29.2,pp,True,28.2,1.0
29.1,30.1,pp,True,29.1,1.0
29.2,30.2,pp,True,29.2,1.0
30.1,31.1,pp,True,30.1,1.0
30.2,31.2,pp,True,30.2,1.0
31.1,32.1,pp,True,31.1,1.0
31.2,32.2,pp,True,31.2,1.0
