trap_num,root_pred_id,endpoint_time_num
1,1,9
2,1,10
3,1,17
4,1,8
4,2,9
5,1,5
5,2,17
6,1,3
6,2,8
7,1,9
8,1,16
9,1,2
9,2,3
10,1,4
11,1,1
11,2,3
11,3,5
12,1,3
13,1,6
13,2,5
14,1,12
15,1,8
16,1,19
17,1,6
18,1,7
19,1,12
20,1,13
21,1,6
21,2,3
22,1,8
23,1,37
23,2,15
24,1,17
25,1,2
25,2,15
26,1,4
26,2,19
27,1,6
27,2,4
28,1,2
28,2,3
28,3,1
29,1,5
30,1,5
30,2,9
31,1,15
32,1,9
33,1,33
34,1,13
34,2,14
35,1,5
35,2,11
36,1,3
36,2,1
37,1,4
38,1,18
39,1,7
40,1,24
41,1,2
41,2,8
42,1,2
42,2,5
43,1,23
43,2,6
44,0,10
45,1,3
45,2,4
46,1,8
47,1,11
47,2,1
48,1,7
48,2,8
49,1,3
49,2,7
50,1,6
50,2,7
51,1,4
51,2,5
52,1,4
53,1,5
54,1,21
55,1,7
56,1,9
56,2,11
56,3,1
57,1,9
57,2,1
57,3,4
58,1,7
58,2,2
58,3,1
59,1,16
60,1,7
61,1,12
62,1,6
63,1,7
63,2,1
64,1,7
64,2,1
65,1,13
66,1,12
67,1,5
68,1,2
68,2,1
68,3,1
68,4,2
69,1,3
69,2,10
70,1,7
70,2,11
71,1,4
71,2,7
72,1,12
73,1,6
74,1,31
75,1,1
75,2,2
75,3,2
76,1,9
76,2,1
77,1,6
77,2,3
78,1,11
79,1,16
80,1,11
81,1,1
81,2,2
82,0,1
83,1,2
83,2,1
84,1,11
85,1,11
86,1,18
87,1,12
88,1,2
88,2,3
89,1,7
90,1,6
91,1,9
92,1,8
93,1,21
93,2,13
94,1,5
94,2,1
95,1,1
95,2,2
96,1,16
97,1,8
98,1,16
99,1,4
100,1,9
100,2,4
101,1,1
101,2,8
102,1,15
103,1,3
103,2,4
104,1,14
