trap_num,total_branch_count,root_branch_count,experimental,t_stop
1,30,23,21,213
2,29,25,18,212
3,25,24,non_int:21l,391
7,25,23,29,253
8,36,24,24,209
10,16,14,16,391
12,34,20,19,247
14,ParseFail,ParseFail,19
15,49,33,23,209
16,44,27,30,232
17,20,17,31,255
18,19,18,22,326
19,35,25,32,293
20,26,25,non_int:24l,250
22,36,24,non_int:6l,204
24,ParseFail,ParseFail,18
29,23,20,29,212
31,24,13,non_int:3l,202
32,24,20,32,327
33,37,30,30,227
37,11,11,23,373
38,32,29,46,323
39,28,16,non_int:27l,209
40,19,19,12,209
44,18,0,non_int:e,233
46,19,17,non_int:24l,210
52,30,29,33,391
53,34,31,non_int:31l,209
54,17,17,20,391
55,28,26,28,201
59,43,34,non_int:10l,287
60,15,15,4,203
61,24,18,10,204
62,15,15,20,267
65,12,12,15,381
66,48,42,21,203
67,28,25,29,219
72,23,22,15,227
73,31,30,non_int:30l,213
74,27,20,non_int:9l,265
78,33,25,non_int:25l,238
79,33,27,non_int:16l,203
80,47,23,non_int:20l,391
82,ParseFail,ParseFail,non_int:e
84,25,20,15,270
85,41,38,non_int:23l,391
86,24,22,18,383
87,16,14,11,217
89,22,18,19,283
90,37,31,30,391
91,34,31,24,334
92,37,33,non_int:7l,235
96,15,9,4,391
97,14,6,12,391
98,36,34,non_int:20l,259
99,ParseFail,ParseFail,non_int:12l
102,33,29,23,256
104,ParseFail,ParseFail,non_int:18l
