trap_num,root_pred_id,endpoint_time_num
1,1,163
2,1,66
3,1,185
4,1,2
4,2,19
4,3,3
5,1,12
5,2,3
6,1,18
6,2,29
7,1,20
8,1,16
9,1,6
9,2,37
9,3,7
10,1,134
11,1,14
11,2,49
11,3,15
12,1,15
13,1,167
13,2,23
14,1,10
15,1,24
16,1,20
17,1,19
18,1,29
19,1,42
20,1,19
21,1,231
21,2,11
22,1,11
23,1,15
23,2,50
24,1,35
25,1,21
25,2,28
25,3,11
26,1,27
26,2,18
27,1,187
27,2,15
28,1,9
28,2,9
28,3,10
28,4,3
29,1,218
30,1,24
30,2,22
31,1,21
32,1,268
33,1,53
34,1,113
34,2,13
35,1,11
35,2,20
36,1,14
36,2,14
37,1,391
38,1,43
39,1,25
40,1,31
41,1,12
41,2,5
42,1,9
42,2,22
43,1,202
43,2,6
44,0,10
45,1,24
45,2,11
46,1,30
47,1,15
47,2,21
48,1,34
48,2,26
49,1,15
49,2,14
50,1,17
50,2,6
51,1,18
51,2,4
52,1,121
53,1,29
54,1,391
55,1,19
56,1,14
56,2,35
56,3,1
57,1,7
57,2,77
57,3,8
58,1,11
58,2,40
58,3,12
59,1,35
60,1,135
61,1,24
62,1,391
63,1,14
63,2,19
64,1,9
64,2,20
65,1,391
66,1,29
67,1,19
68,1,2
68,2,2
68,3,3
68,4,3
68,5,2
69,1,17
69,2,21
70,1,16
70,2,33
71,1,25
71,2,17
72,1,26
73,1,32
74,1,30
75,1,26
75,2,2
75,3,2
76,1,37
76,2,9
77,1,75
77,2,6
78,1,16
79,1,119
80,1,21
81,1,73
81,2,20
82,0,1
83,1,13
83,2,14
84,1,16
85,1,29
86,1,21
87,1,133
88,1,15
88,2,15
89,1,24
90,1,13
91,1,38
92,1,40
93,1,30
93,2,31
94,1,11
94,2,13
95,1,11
95,2,53
96,1,20
97,1,25
98,1,76
99,1,13
100,1,16
100,2,15
101,1,24
101,2,24
102,1,19
103,1,6
103,2,21
104,1,35
