trap_num,branch_count,experimental,root_node_endpoints
1,1,21,1_8
2,1,18,1_8
3,1,non_int:21l,1_8
7,1,29,1_7
8,3,24,1_11
10,1,16,1_3
12,1,19,1_3
14,1,19,1_6
15,1,23,1_5
16,1,30,1_7
17,1,31,1_5
18,1,22,1_6
19,16,32,1_28
20,1,non_int:24l,1_7
22,2,non_int:6l,1_11
24,1,18,1_7
29,1,29,1_4
31,4,non_int:3l,1_15
32,1,32,1_6
33,1,30,1_15
37,1,23,1_4
38,1,46,1_4
39,2,non_int:27l,1_6
40,1,12,1_14
44,0,non_int:e,0_10
46,1,non_int:24l,1_8
52,1,33,1_4
53,1,non_int:31l,1_5
54,1,20,1_12
55,1,28,1_9
59,2,non_int:10l,1_8
60,1,4,1_7
61,1,10,1_12
62,1,20,1_5
65,1,15,1_9
66,3,21,1_12
67,1,29,1_5
72,1,15,1_6
73,1,non_int:30l,1_6
74,2,non_int:9l,1_8
78,4,non_int:25l,1_14
79,1,non_int:16l,1_14
80,3,non_int:20l,1_13
82,0,non_int:e,0_1
84,1,15,1_9
85,1,non_int:23l,1_11
86,1,18,1_9
87,1,11,1_10
89,4,19,1_10
90,1,30,1_5
91,2,24,1_10
92,1,non_int:7l,1_8
96,9,4,1_19
97,5,12,1_15
98,1,non_int:20l,1_9
99,1,non_int:12l,1_3
102,1,23,1_6
104,1,non_int:18l,1_8
