trap_num,root_pred_id,endpoint_time_num
1,1,8
2,1,8
3,1,8
4,1,14
4,2,4
4,3,1
5,1,14
5,2,5
6,1,4
6,2,7
7,1,7
8,1,11
9,1,11
9,2,10
9,3,1
10,1,3
11,1,5
11,2,1
11,3,4
12,1,3
13,1,6
13,2,1
14,1,6
15,1,5
16,1,7
17,1,5
18,1,6
19,1,28
20,1,7
21,1,5
21,2,2
22,1,11
23,1,7
23,2,12
24,1,7
25,1,9
25,2,13
25,3,1
26,1,26
26,2,2
27,1,9
27,2,3
28,1,1
28,2,2
28,3,1
28,4,1
29,1,4
30,1,10
30,2,6
31,1,15
32,1,6
33,1,15
34,1,13
34,2,14
35,1,7
35,2,5
36,1,1
36,2,6
37,1,4
38,1,4
39,1,6
40,1,14
41,1,4
41,2,2
42,1,7
42,2,1
43,1,3
43,2,1
44,0,10
45,1,5
45,2,1
46,1,8
47,1,1
47,2,15
48,1,6
48,2,4
49,1,1
49,2,3
50,1,1
50,2,2
51,1,7
51,2,4
52,1,4
53,1,5
54,1,12
55,1,9
56,1,3
56,2,4
56,3,1
57,1,8
57,2,1
57,3,4
58,1,4
58,2,9
58,3,1
59,1,8
60,1,7
61,1,12
62,1,5
63,1,1
63,2,5
64,1,4
64,2,2
65,1,9
66,1,12
67,1,5
68,1,2
68,2,3
68,3,2
68,4,1
68,5,1
69,1,2
69,2,9
70,1,7
70,2,8
71,1,4
71,2,1
72,1,6
73,1,6
74,1,8
75,1,13
75,2,2
75,3,1
76,1,3
76,2,1
77,1,13
77,2,3
78,1,14
79,1,14
80,1,13
81,1,5
81,2,6
82,0,1
83,1,9
83,2,8
84,1,9
85,1,11
86,1,9
87,1,10
88,1,1
88,2,2
89,1,10
90,1,5
91,1,10
92,1,8
93,1,5
93,2,3
94,1,8
94,2,6
95,1,3
95,2,4
96,1,19
97,1,15
98,1,9
99,1,3
100,1,4
100,2,4
101,1,10
101,2,9
102,1,6
103,1,1
103,2,4
104,1,8
