sum_area,num_obj,time_num,peak_all,peak_stop,trough_all
51,1,1,0.0,0.0,0.0
44,1,2,0.0,0.0,44.0
51,1,3,0.0,0.0,0.0
57,1,4,0.0,0.0,0.0
88,2,5,88.0,88.0,0.0
86,2,6,0.0,0.0,0.0
84,2,7,0.0,0.0,84.0
102,2,8,0.0,0.0,0.0
95,2,9,0.0,0.0,0.0
121,2,10,121.0,121.0,0.0
121,2,11,0.0,0.0,0.0
71,2,12,0.0,0.0,71.0
80,2,13,0.0,0.0,0.0
137,3,14,0.0,0.0,0.0
147,3,15,0.0,0.0,0.0
147,3,16,0.0,0.0,0.0
159,3,17,0.0,0.0,0.0
179,3,18,179.0,179.0,0.0
121,2,19,0.0,0.0,0.0
158,3,20,0.0,0.0,0.0
75,2,21,0.0,0.0,75.0
144,3,22,0.0,0.0,0.0
165,3,23,165.0,165.0,0.0
153,3,24,0.0,0.0,0.0
178,3,25,0.0,0.0,0.0
158,3,26,0.0,0.0,0.0
135,3,27,0.0,0.0,0.0
181,4,28,181.0,181.0,0.0
166,4,29,0.0,0.0,0.0
168,3,30,0.0,0.0,0.0
107,2,31,0.0,0.0,107.0
134,2,32,0.0,0.0,0.0
134,2,33,0.0,0.0,0.0
128,2,34,0.0,0.0,0.0
138,3,35,0.0,0.0,0.0
175,3,36,0.0,0.0,0.0
178,3,37,0.0,0.0,0.0
199,3,38,0.0,0.0,0.0
207,3,39,207.0,207.0,0.0
198,3,40,0.0,0.0,0.0
129,2,41,0.0,0.0,0.0
79,2,42,0.0,0.0,79.0
90,2,43,0.0,0.0,0.0
101,2,44,0.0,0.0,0.0
120,2,45,120.0,120.0,0.0
107,2,46,0.0,0.0,0.0
122,2,47,0.0,0.0,0.0
164,3,48,0.0,0.0,0.0
133,3,49,0.0,0.0,0.0
164,3,50,164.0,164.0,0.0
101,2,51,0.0,0.0,101.0
120,2,52,0.0,0.0,0.0
126,2,53,0.0,0.0,0.0
126,2,54,0.0,0.0,0.0
142,2,55,142.0,142.0,0.0
128,2,56,0.0,0.0,0.0
75,2,57,0.0,0.0,75.0
86,2,58,0.0,0.0,0.0
101,2,59,0.0,0.0,0.0
114,2,60,0.0,0.0,0.0
114,2,61,0.0,0.0,0.0
128,2,62,0.0,0.0,0.0
135,2,63,135.0,135.0,0.0
64,1,64,0.0,0.0,64.0
86,2,65,0.0,0.0,0.0
90,2,66,0.0,0.0,0.0
113,2,67,0.0,0.0,0.0
113,2,68,0.0,0.0,0.0
