,trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,area,gateDist,edgeDist,region,is_mother_cell,is_daughter_cell,last_mother_cost
81225,97,1,1,1,cell,95%,30,33,7,7,39,1.0,33.0,A,True,False,0.0
81226,97,2,1,1,cell,95%,30,32,8,7,44,2.0,32.0,A,True,False,2.282051282051282
81227,97,3,1,1,cell,95%,29,33,8,8,51,1.414213562,33.01514804,A,True,False,3.0051226532821866
81228,97,4,1,1,cell,95%,29,32,9,8,57,2.236067977,32.01562119,A,True,False,2.1764705882352944
81229,97,5,1,1,cell,96%,30,32,8,8,51,2.0,32.0,A,True,False,2.052631578947368
81230,97,6,1,1,cell,96%,29,32,7,9,50,2.236067977,32.01562119,A,True,False,1.1960784313725494
81231,97,7,2,1,cell,96%,28,24,7,7,39,10.19803903,24.08318916,A,False,True,10.262257748298548
81232,97,7,2,2,cell,96%,30,33,7,8,44,1.0,33.0,A,True,False,2.614213562373095
81233,97,8,2,1,cell,96%,27,22,7,8,44,12.36931688,22.20360331,A,False,True,11.40175425099138
81234,97,8,2,2,cell,97%,31,32,8,9,57,2.236067977,32.01562119,A,True,False,4.368759016918549
81235,97,9,2,1,cell,97%,27,21,8,9,57,13.34166406,21.21320344,A,False,True,11.704699910719626
81236,97,9,2,2,cell,97%,29,32,8,10,63,2.236067977,32.01562119,A,True,False,3.0526315789473695
81237,97,10,2,1,cell,96%,28,22,8,9,57,12.16552506,22.09072203,A,False,True,11.002256573501842
81238,97,10,2,2,cell,98%,30,33,9,10,71,1.0,33.0,A,True,False,2.6840548322143647
81239,97,11,2,1,cell,97%,27,20,8,9,57,14.31782106,20.22374842,A,False,True,15.313495050041826
81240,97,11,2,2,cell,97%,29,32,9,10,71,2.236067977,32.01562119,A,True,False,1.4142135623730951
81241,97,12,2,1,cell,96%,27,22,8,9,57,12.36931688,22.20360331,A,False,True,12.169870013101063
81242,97,12,2,2,cell,97%,29,33,9,9,64,1.414213562,33.01514804,A,True,False,1.9859154929577463
81243,97,13,2,1,cell,96%,28,20,8,9,57,14.14213562,20.09975124,A,False,True,14.132154810405298
81244,97,13,2,2,cell,97%,30,32,10,10,79,2.0,32.0,A,True,False,3.757963562373095
81245,97,14,2,1,cell,97%,27,21,9,10,71,13.34166406,21.21320344,A,False,True,12.41441247883948
81246,97,14,2,2,cell,95%,29,32,8,10,63,2.236067977,32.01562119,A,True,False,3.0253164556962022
81247,97,15,3,1,cell,65%,27,24,7,8,44,10.44030651,24.18677324,A,False,True,11.262084267108337
81248,97,15,3,2,cell,92%,30,31,8,8,51,3.0,31.0,A,True,False,3.318975467135
81250,97,16,3,1,cell,91%,26,22,6,8,38,12.64911064,22.36067977,A,False,True,12.397877409639241
81251,97,16,3,2,cell,95%,29,31,8,9,57,3.16227766,31.01612484,A,True,False,2.1764705882352944
81253,97,17,3,1,cell,93%,27,23,7,8,44,11.40175425,23.19482701,A,False,True,10.526913005621287
81254,97,17,3,2,cell,94%,30,32,8,9,57,2.0,32.0,A,True,False,1.4142135623730951
81256,97,18,3,1,cell,94%,26,22,7,7,39,12.64911064,22.36067977,A,False,True,13.928224351111115
