trap_num,time_num,total_objs,obj_num,detect_class,predic_rate,obj_X,obj_Y,width,height,area,gateDist,edgeDist,region
100,1,2,1,cell,96%,30,23,11,10,87,11.0,23.0,A
100,1,2,2,cell,94%,30,33,8,8,51,1.0,33.0,A
100,2,2,1,cell,95%,28,21,11,9,78,13.15294644,21.09502311,A
100,2,2,2,cell,93%,29,32,7,8,44,2.236067977,32.01562119,A
100,3,2,1,cell,94%,30,21,11,10,87,13.0,21.0,A
100,3,2,2,cell,95%,29,32,7,9,50,2.236067977,32.01562119,A
100,4,3,1,cell,96%,28,21,10,9,71,13.15294644,21.09502311,A
100,4,3,2,cell,94%,28,32,7,8,44,2.828427125,32.06243908,A
100,4,3,3,cell,37%,35,17,4,6,19,17.72004515,17.72004515,A
100,5,3,1,cell,94%,27,20,9,11,78,14.31782106,20.22374842,A
100,5,3,2,cell,96%,29,32,7,10,55,2.236067977,32.01562119,A
100,5,3,3,cell,92%,38,15,8,8,51,20.61552813,17.0,A
100,6,3,1,cell,95%,26,17,9,10,71,17.4642492,17.4642492,A
100,6,3,2,cell,94%,29,32,9,8,57,2.236067977,32.01562119,A
100,6,3,3,cell,94%,37,14,9,8,57,21.1896201,15.65247584,A
100,7,3,1,cell,95%,25,17,10,10,79,17.72004515,17.72004515,A
100,7,3,2,cell,96%,29,31,8,9,57,3.16227766,31.01612484,A
100,7,3,3,cell,95%,37,13,10,7,55,22.13594362,14.76482306,A
100,8,3,1,cell,95%,26,16,12,10,95,18.43908891,16.4924225,A
100,8,3,2,cell,97%,29,31,9,9,64,3.16227766,31.01612484,A
100,8,3,3,cell,94%,37,14,10,8,63,21.1896201,15.65247584,A
100,9,4,1,cell,94%,24,15,10,9,71,19.92485885,16.15549442,A
100,9,4,2,cell,96%,29,31,8,9,57,3.16227766,31.01612484,A
100,9,4,3,cell,47%,31,21,7,8,44,13.03840481,21.02379604,A
100,9,4,4,cell,95%,37,14,9,8,57,21.1896201,15.65247584,A
100,10,4,1,cell,95%,25,16,11,10,87,18.68154169,16.76305461,A
100,10,4,2,cell,96%,29,31,9,9,64,3.16227766,31.01612484,A
100,10,4,3,cell,65%,33,22,8,7,44,12.36931688,22.20360331,A
100,10,4,4,cell,94%,37,14,11,8,70,21.1896201,15.65247584,A
100,11,5,1,cell,94%,24,16,10,10,79,18.97366596,17.08800749,A
100,11,5,2,cell,97%,29,31,8,10,63,3.16227766,31.01612484,A
