trap_num,t_stop,stop_condition,start_obj,exp_div,pred_div
1,164,Div Range,1,21,22
2,157,No Divisions - Area STD,1,18,18
4,253,Div Range,3,33,33
5,265,No Divisions - Area STD,2,27,34
6,283,No Calc Divisions,2,30,38
7,153,Div Range,1,29,19
8,191,No Divisions - Area STD,1,24,26
9,163,No Calc Divisions,3,8,16
10,158,No Calc Divisions,1,16,20
11,296,Div Range,3,33,37
12,183,No Calc Divisions,1,19,23
13,174,No Calc Divisions,2,25,21
14,175,No Cells,1,19,21
15,190,Div Range,1,23,22
16,223,Div Range,1,30,28
17,232,Div Range,1,31,29
18,193,Div Range,1,22,23
19,168,No Calc Divisions,1,32,22
21,152,No Calc Divisions,2,16,15
24,147,No Divisions - Area STD,1,18,19
26,156,No Cells,2,21,22
27,195,Div Range,2,27,25
28,137,No Calc Divisions,4,15,16
29,207,Div Range,1,29,28
30,106,No Divisions - Area STD,2,13,14
32,251,Div Range,1,32,31
33,207,No Calc Divisions,1,30,26
34,78,No Divisions - Area STD,2,20,10
35,258,No Cells,2,30,33
36,154,No Calc Divisions,2,20,18
37,189,No Calc Divisions,1,23,25
38,280,No Calc Divisions,1,46,36
40,102,No Calc Divisions,1,12,10
41,152,No Divisions - Area STD,2,9,19
42,61,No Divisions - Area STD,2,8,8
43,226,No Calc Divisions,2,31,29
45,155,Div Range,2,17,19
47,100,No Calc Divisions,2,13,12
48,216,No Calc Divisions,2,26,28
49,272,No Divisions - Area STD,2,21,37
50,181,No Calc Divisions,2,15,24
51,184,Div Range,2,25,23
52,155,Div Range,1,33,20
54,149,No Divisions - Area STD,1,20,19
55,202,No Calc Divisions,1,28,25
56,94,No Cells,3,9,12
58,278,Div Range,3,20,35
60,48,No Calc Divisions,1,4,5
61,87,No Divisions - Area STD,1,10,11
62,151,No Calc Divisions,1,20,18
63,133,No Divisions - Area STD,2,17,18
65,146,No Calc Divisions,1,15,16
66,173,No Calc Divisions,1,21,20
67,248,Div Range,1,29,31
68,139,No Divisions - Area STD,5,8,20
69,127,No Calc Divisions,2,18,16
70,159,No Calc Divisions,2,23,21
71,22,No Calc Divisions,2,31,3
72,118,No Divisions - Area STD,1,15,15
77,228,Div Range,2,28,28
83,195,Div Range,2,29,23
84,124,No Divisions - Area STD,1,15,15
86,149,No Calc Divisions,1,18,19
87,88,No Divisions - Area STD,1,11,12
89,166,No Calc Divisions,1,19,20
90,226,No Calc Divisions,1,30,30
91,152,Div Range,1,24,20
95,197,Div Range,2,27,24
96,62,No Cells,1,4,7
97,139,No Divisions - Area STD,1,12,19
100,244,Div Range,2,23,30
101,158,No Calc Divisions,2,20,20
102,154,Div Range,1,23,19
